"","class","N","average","YMin","YMax","expt"
"8","quality",80,0.789125,0.854628125,0.71811875,"faultless"
"9","size",240,0.788208333333333,0.821666666666667,0.753540625,"faultless"
"10","age",160,0.57525,0.6295,0.518875,"faultless"
"11","texture",120,0.5875,0.651666666666667,0.521166666666667,"faultless"
"12","color",240,0.263875,0.302876041666667,0.225873958333333,"faultless"
"13","shape",80,0.165,0.219625,0.114871875,"faultless"
"14","material",120,0.1285,0.17241875,0.0866645833333333,"faultless"
"15","age",15379,0.555952922816828,0.563885818323688,0.547955003576305,"corpus"
"16","color",5006,0.127846584099081,0.137235317618857,0.118652616859768,"corpus"
"17","material",1180,0.0559322033898305,0.0694915254237288,0.0432203389830508,"corpus"
"18","quality",3691,0.662693037117312,0.678136006502303,0.647791926307234,"corpus"
"19","shape",216,0.226851851851852,0.282407407407407,0.171296296296296,"corpus"
"20","size",11246,0.67944157922817,0.687977947714743,0.67072736973146,"corpus"
"21","texture",1700,0.469411764705882,0.492941176470588,0.446470588235294,"corpus"
"22","age",120,0.53475,0.580252083333333,0.489083333333333,"subjectivity"
"23","color",180,0.200111111111111,0.234833333333333,0.167,"subjectivity"
"24","material",90,0.175333333333333,0.221333333333333,0.132,"subjectivity"
"25","quality",60,0.756,0.815670833333333,0.692995833333333,"subjectivity"
"26","shape",60,0.2485,0.314670833333333,0.187166666666667,"subjectivity"
"27","size",180,0.589833333333333,0.627723611111111,0.550443055555556,"subjectivity"
"28","texture",90,0.526,0.578780555555556,0.473777777777778,"subjectivity"
"1","age",359,0.57849582172702,0.621810584958217,0.533899025069638,"preference"
"2","color",506,0.232766798418972,0.26162104743083,0.203655138339921,"preference"
"3","material",270,0.11637037037037,0.142111111111111,0.0928509259259259,"preference"
"4","quality",208,0.689519230769231,0.739855769230769,0.638173076923077,"preference"
"5","shape",218,0.404174311926606,0.459177752293578,0.350457568807339,"preference"
"6","size",478,0.817803347280335,0.842907949790795,0.791066422594142,"preference"
"7","texture",301,0.633488372093023,0.6778073089701,0.588570598006644,"preference"
