date,workerid,amount
Fri Nov 02 22:57:08 PDT 2018,A2BPS1TR8K2HRN,0.3
Fri Nov 02 22:57:13 PDT 2018,A2C84QVRK3KG57,0.3
Fri Nov 02 22:57:56 PDT 2018,A1TU9HYDEZO31Z,0.3
Fri Nov 02 22:58:34 PDT 2018,A1ZWJF3V4NXN6H,0.3
Fri Nov 02 22:59:06 PDT 2018,A3ENCWJY6BKW87,0.3
Fri Nov 02 22:59:46 PDT 2018,A1PHW6P3HAK0ZI,0.3
Fri Nov 02 23:03:15 PDT 2018,A2P8PHVUWCQL7P,0.3
Fri Nov 02 23:06:27 PDT 2018,AWAW665TQQP2F,0.3
Fri Nov 02 23:08:32 PDT 2018,A1UKJRQRIFY0L,0.3
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
